time,side,HoldingReturn,LastReturn,AccReturnMaxDrawdown,EntryPrice,LastPrice,MaxReturn,
2018-02-05T01:22:00.000,-1.0,7.00000000000145E-5,-1.0999999999983245E-4,4.5999999999990493E-4,1.24531,1.24524,5.299999999999194E-4,
2018-02-05T01:44:00.000,1.0,-2.6999999999999247E-4,0.0,3.2999999999994145E-4,1.24549,1.24522,5.999999999994898E-5,
2018-02-05T02:00:00.000,-1.0,-2.700000000002145E-4,1.5999999999993797E-4,5.60000000000116E-4,1.2449,1.24517,1.2999999999996348E-4,
2018-02-05T02:08:00.000,1.0,7.999999999985796E-5,-2.300000000001745E-4,8.100000000001994E-4,1.24526,1.24534,8.900000000000574E-4,
2018-02-05T02:24:00.000,-1.0,-5.0000000000105516E-5,-3.20000000000098E-4,6.40000000000196E-4,1.24512,1.24517,5.900000000000905E-4,
2018-02-05T02:46:00.000,1.0,-2.1000000000004349E-4,-2.1000000000004349E-4,2.1000000000004349E-4,1.24467,1.24446,-2.1000000000004349E-4,
2018-02-05T02:50:00.000,-1.0,-3.5999999999991594E-4,-2.5999999999992696E-4,5.800000000000249E-4,1.24434,1.2447,2.20000000000109E-4,
2018-02-05T03:06:00.000,1.0,1.3999999999980695E-4,1.3999999999980695E-4,0.0,1.24432,1.24446,1.3999999999980695E-4,
2018-02-05T03:16:00.000,-1.0,-3.8000000000004697E-4,-3.8000000000004697E-4,3.8000000000004697E-4,1.24424,1.24462,0.0,
2018-02-05T03:24:00.000,1.0,4.899999999998794E-4,2.1999999999988695E-4,3.4000000000000696E-4,1.24516,1.24565,6.099999999999994E-4,
2018-02-05T04:02:00.000,-1.0,-0.0010099999999999554,-7.299999999998974E-4,0.0012199999999999989,1.24596,1.24697,2.1000000000004349E-4,
2018-02-05T04:10:00.000,1.0,-1.0000000000065512E-5,-1.100000000000545E-4,5.500000000000504E-4,1.24691,1.2469,5.399999999999849E-4,
2018-02-05T04:26:00.000,-1.0,-4.3999999999999595E-4,-2.6999999999999247E-4,4.3999999999999595E-4,1.24673,1.24717,-1.6000000000016001E-4,
2018-02-05T04:34:00.000,1.0,-5.500000000000504E-4,-3.500000000000725E-4,5.500000000000504E-4,1.24726,1.24671,-1.9999999999997797E-4,
2018-02-05T04:40:00.000,-1.0,2.4000000000001798E-4,-7.999999999985796E-5,6.099999999999994E-4,1.24654,1.2463,8.500000000000174E-4,
2018-02-05T04:56:00.000,1.0,-5.899999999998684E-4,-9.999999999843467E-6,5.899999999998684E-4,1.2465,1.24591,-5.800000000000249E-4,
2018-02-05T05:02:00.000,-1.0,-1.6000000000016001E-4,-2.300000000001745E-4,3.300000000001635E-4,1.24606,1.24622,1.7000000000000348E-4,
2018-02-05T05:12:00.000,1.0,4.999999999988347E-5,-8.000000000008001E-5,5.399999999999849E-4,1.24649,1.24654,5.899999999998684E-4,
2018-02-05T05:30:00.000,-1.0,-9.999999999998899E-5,-9.999999999998899E-5,9.999999999998899E-5,1.24685,1.24695,-9.999999999998899E-5,
2018-02-05T05:34:00.000,1.0,-2.4000000000001798E-4,-2.0000000000020002E-4,2.4000000000001798E-4,1.24704,1.2468,-3.999999999981796E-5,
2018-02-05T05:46:00.000,-1.0,-3.1000000000003247E-4,-1.40000000000029E-4,3.1000000000003247E-4,1.24667,1.24698,-9.000000000014552E-5,
2018-02-05T06:32:00.000,1.0,-1.80000000000069E-4,-1.9999999999997797E-4,5.999999999999339E-4,1.24584,1.24566,4.199999999998649E-4,
2018-02-05T06:42:00.000,-1.0,-3.8000000000004697E-4,5.0000000000105516E-5,4.300000000001525E-4,1.24551,1.24589,-3.8000000000004697E-4,
2018-02-05T07:22:00.000,1.0,-1.500000000000945E-4,-2.999999999997449E-5,3.5999999999991594E-4,1.24452,1.24437,2.0999999999982144E-4,
2018-02-05T07:32:00.000,-1.0,-5.60000000000116E-4,-1.0000000000021103E-4,5.60000000000116E-4,1.244,1.24456,-2.5999999999992696E-4,
2018-02-05T07:40:00.000,1.0,-2.7999999999983594E-4,-1.7999999999984695E-4,4.1000000000002146E-4,1.24463,1.24435,1.3000000000018552E-4,
2018-02-05T07:48:00.000,-1.0,-4.8000000000003595E-4,-2.1000000000004349E-4,4.999999999999449E-4,1.24427,1.24475,1.999999999990898E-5,
2018-02-05T07:56:00.000,1.0,-3.60000000000138E-4,-3.60000000000138E-4,3.60000000000138E-4,1.24462,1.24426,-3.60000000000138E-4,
2018-02-05T08:00:00.000,-1.0,-3.5999999999991594E-4,-2.4999999999986144E-4,3.9999999999995595E-4,1.2438,1.24416,-1.100000000000545E-4,
2018-02-05T08:20:00.000,1.0,-1.5999999999993797E-4,-2.9999999999996696E-4,4.8000000000003595E-4,1.24426,1.2441,3.20000000000098E-4,
2018-02-05T08:38:00.000,-1.0,7.999999999985796E-5,7.999999999985796E-5,0.0,1.24446,1.24438,7.999999999985796E-5,
2018-02-05T08:48:00.000,1.0,-5.399999999999849E-4,-3.20000000000098E-4,5.60000000000116E-4,1.24467,1.24413,2.0000000000131024E-5,
2018-02-05T08:58:00.000,-1.0,0.0019500000000001183,-5.999999999994898E-5,7.499999999998064E-4,1.24404,1.24209,0.0026999999999999247,
2018-02-05T09:22:00.000,1.0,-3.0999999999981043E-4,-9.999999999998899E-5,3.0999999999981043E-4,1.24212,1.24181,-3.999999999981796E-5,
2018-02-05T09:30:00.000,-1.0,0.0010100000000001774,-2.999999999997449E-5,3.4000000000000696E-4,1.24154,1.24053,0.0013500000000001844,
2018-02-05T09:58:00.000,1.0,-8.399999999999519E-4,-5.299999999999194E-4,8.399999999999519E-4,1.24081,1.23997,-3.1000000000003247E-4,
2018-02-05T10:04:00.000,-1.0,-0.0011499999999999844,-7.399999999999629E-4,0.0011499999999999844,1.23992,1.24107,-4.1000000000002146E-4,
2018-02-05T10:10:00.000,1.0,0.0012600000000000389,-4.0000000000040004E-5,4.999999999999449E-4,1.24078,1.24204,0.0017599999999999838,
2018-02-05T10:44:00.000,-1.0,-2.4000000000001798E-4,-4.2999999999993044E-4,4.2999999999993044E-4,1.24229,1.24253,1.8999999999991246E-4,
2018-02-05T10:50:00.000,1.0,-1.9999999999997797E-4,-1.9999999999997797E-4,1.9999999999997797E-4,1.24245,1.24225,-1.9999999999997797E-4,
2018-02-05T10:54:00.000,-1.0,5.0000000000105516E-5,5.0000000000105516E-5,0.0,1.24228,1.24223,5.0000000000105516E-5,
2018-02-05T11:30:00.000,1.0,-5.500000000000504E-4,-3.500000000000725E-4,6.700000000001705E-4,1.24159,1.24104,1.2000000000012001E-4,
2018-02-05T11:44:00.000,-1.0,-1.1999999999989797E-4,-1.8999999999991246E-4,4.499999999998394E-4,1.24095,1.24107,3.2999999999994145E-4,
2018-02-05T11:58:00.000,1.0,-7.999999999999119E-4,-6.599999999998829E-4,0.0011099999999999444,1.24152,1.24072,3.1000000000003247E-4,
2018-02-05T12:12:00.000,-1.0,-1.9999999999997797E-4,-1.8999999999991246E-4,3.8000000000004697E-4,1.24129,1.24149,1.80000000000069E-4,
2018-02-05T12:22:00.000,1.0,-2.500000000000835E-4,-2.500000000000835E-4,2.500000000000835E-4,1.24137,1.24112,-2.500000000000835E-4,
2018-02-05T13:04:00.000,-1.0,2.8999999999990145E-4,-4.1000000000002146E-4,7.200000000000539E-4,1.24229,1.242,0.0010099999999999554,
2018-02-05T13:28:00.000,1.0,-2.4000000000001798E-4,-4.999999999988347E-5,2.4000000000001798E-4,1.24187,1.24163,-1.40000000000029E-4,
2018-02-05T13:52:00.000,-1.0,-4.1000000000002146E-4,-2.2999999999995246E-4,4.1000000000002146E-4,1.24179,1.2422,-2.999999999997449E-5,
2018-02-05T14:22:00.000,1.0,-1.7000000000000348E-4,-1.7000000000000348E-4,1.7000000000000348E-4,1.24141,1.24124,-1.7000000000000348E-4,
2018-02-05T14:30:00.000,-1.0,0.0010399999999999299,-1.80000000000069E-4,4.899999999998794E-4,1.24099,1.23995,0.0014300000000000423,
2018-02-05T15:04:00.000,1.0,0.0010799999999999699,-4.5000000000006146E-4,9.299999999998754E-4,1.23981,1.24089,0.0020099999999998452,
2018-02-05T15:30:00.000,-1.0,-1.7999999999984695E-4,-7.00000000000145E-5,1.7999999999984695E-4,1.24117,1.24135,-1.0999999999983245E-4,
2018-02-05T15:36:00.000,1.0,-6.199999999998429E-4,-1.7999999999984695E-4,6.199999999998429E-4,1.24165,1.24103,-4.3999999999999595E-4,
2018-02-05T15:42:00.000,-1.0,8.999999999992347E-5,8.999999999992347E-5,0.0,1.24138,1.24129,8.999999999992347E-5,
2018-02-05T16:08:00.000,1.0,-8.200000000000429E-4,-8.200000000000429E-4,8.200000000000429E-4,1.23936,1.23854,-8.200000000000429E-4,
2018-02-05T16:12:00.000,-1.0,-1.1999999999989797E-4,-1.1999999999989797E-4,1.1999999999989797E-4,1.23917,1.23929,-1.1999999999989797E-4,
2018-02-05T16:16:00.000,1.0,6.000000000017103E-5,6.000000000017103E-5,0.0,1.23887,1.23893,6.000000000017103E-5,
2018-02-05T16:20:00.000,-1.0,-1.8999999999991246E-4,-1.8999999999991246E-4,1.8999999999991246E-4,1.23889,1.23908,-1.8999999999991246E-4,
2018-02-05T16:26:00.000,1.0,-9.999999999998899E-5,2.6999999999999247E-4,3.6999999999998145E-4,1.23929,1.23919,-9.999999999998899E-5,
2018-02-05T16:36:00.000,-1.0,3.1000000000003247E-4,5.900000000000905E-4,6.800000000000139E-4,1.23881,1.2385,3.9999999999995595E-4,
