time,open,high,low,close,signal,SMA:10,SMA:2,10-2 crossover,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,
2018-02-05T01:02:00.000,1.24602,1.24625,1.24587,1.24598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
2018-02-05T01:04:00.000,1.24597,1.24601,1.24588,1.24591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
2018-02-05T01:06:00.000,1.2459,1.24612,1.24584,1.2459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
2018-02-05T01:08:00.000,1.24589,1.24589,1.24563,1.24563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
2018-02-05T01:10:00.000,1.24565,1.24573,1.24557,1.24568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
2018-02-05T01:12:00.000,1.2457,1.24587,1.24564,1.24567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
2018-02-05T01:14:00.000,1.24566,1.24578,1.24552,1.24558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
2018-02-05T01:16:00.000,1.24559,1.24581,1.24554,1.24578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
2018-02-05T01:18:00.000,1.24577,1.24577,1.24514,1.24515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
2018-02-05T01:20:00.000,1.24516,1.24538,1.24516,1.24533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
2018-02-05T01:22:00.000,1.24532,1.24555,1.24526,1.24532,-1.0,1.245595,1.245325,-2.6999999999999247E-4,0.7857142857144638,0.7755102040817436,0.5000000000001132,0.5510204081632607,0.5408163265307672,0.4489795918367393,0.6530612244900086,0.01020408163272011,0.19387755102054918,0.18367346938782908,
2018-02-05T01:24:00.000,1.24531,1.24554,1.24529,1.24547,-1.0,1.245551,1.245395,-1.56000000000045E-4,0.7755102040817436,0.5000000000001132,0.5510204081632607,0.5408163265307672,0.4489795918367393,0.6530612244900086,0.01020408163272011,0.19387755102054918,0.18367346938782908,0.3367346938777244,
2018-02-05T01:26:00.000,1.24545,1.24545,1.24517,1.24536,-1.0,1.245497,1.245415,-8.200000000013752E-5,0.6533333333334439,0.7199999999999527,0.7066666666668285,0.586666666666639,0.8533333333335623,0.013333333333420178,0.25333333333350305,0.2400000000000829,0.44000000000020134,0.29333333333346756,
2018-02-05T01:28:00.000,1.24535,1.24536,1.24521,1.24526,-1.0,1.24546,1.24531,-1.500000000000945E-4,0.7397260273971186,0.7260273972603489,0.6027397260272931,0.8767123287672483,0.013698630137073802,0.2602739726028814,0.2465753424658076,0.45205479452069797,0.30136986301379864,0.1643835616439731,
2018-02-05T01:30:00.000,1.24523,1.24536,1.24509,1.2451,-1.0,1.2454020000000001,1.24518,-2.220000000001665E-4,0.7435897435897728,0.6282051282049713,0.8846153846154832,0.07692307692301123,0.3076923076923296,0.2948717948717328,0.48717948717954557,0.3461538461538352,0.2179487179487216,0.012820512820596762,
2018-02-05T01:32:00.000,1.24511,1.24511,1.24485,1.24497,-1.0,1.245332,1.2450350000000001,-2.969999999999917E-4,0.7604166666665029,0.9687500000000289,0.31249999999994216,0.5,0.48958333333326587,0.6458333333333526,0.5312499999999711,0.4270833333333237,0.26041666666673413,0.12499999999988436,
2018-02-05T01:34:00.000,1.24497,1.24497,1.24469,1.24476,-1.0,1.24525,1.2448649999999999,-3.850000000000797E-4,0.9732142857143087,0.4107142857141972,0.5714285714285431,0.5624999999999133,0.6964285714285678,0.5982142857142344,0.5089285714285308,0.3660714285714445,0.2499999999998513,0.06250000000001239,
2018-02-05T01:36:00.000,1.24478,1.24501,1.24477,1.24499,-1.0,1.245171,1.244875,-2.96000000000074E-4,0.42592592592584977,0.592592592592585,0.5833333333332648,0.7222222222222451,0.6203703703703399,0.5277777777777549,0.37962962962966007,0.2592592592591146,0.06481481481483005,0.2777777777777549,
2018-02-05T01:38:00.000,1.24499,1.24512,1.24487,1.24489,-1.0,1.245145,1.2449400000000002,-2.0499999999978868E-4,0.7441860465117179,0.7325581395348957,0.9069767441861967,0.7790697674419265,0.6627906976744786,0.4767441860466137,0.3255813953486991,0.08139534883723933,0.3488372093023436,0.23255813953489574,
