datetime,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,cluster
2018-02-05 01:10:00,0.7794117647057479,0.6029411764706074,0.5441176470587851,0.5,0.6911764705881777,0.4852941176469628,0.17647058823514045,0.08823529411757022,0.17647058823514045,0.16176470588210326,0
2018-02-05 01:11:00,0.6029411764706074,0.5441176470587851,0.5,0.6911764705881777,0.4852941176469628,0.17647058823514045,0.08823529411757022,0.17647058823514045,0.16176470588210326,0.32352941176453304,1
2018-02-05 01:12:00,0.6727272727274489,0.6181818181820237,0.8545454545456674,0.6000000000000807,0.21818181818170074,0.10909090909085037,0.21818181818170074,0.19999999999975776,0.3999999999999193,0.1818181818182185,1
2018-02-05 01:13:00,0.6181818181820237,0.8545454545456674,0.6000000000000807,0.21818181818170074,0.10909090909085037,0.21818181818170074,0.19999999999975776,0.3999999999999193,0.1818181818182185,0.12727272727279335,1
2018-02-05 01:14:00,0.8666666666668887,0.6333333333334814,0.28333333333337035,0.18333333333344434,0.28333333333337035,0.2666666666665927,0.45000000000003704,0.250000000000185,0.20000000000022208,0.09999999999992598,1
2018-02-05 01:15:00,0.7307692307692143,0.32692307692303585,0.21153846153853545,0.32692307692303585,0.30769230769214345,0.5192307692306789,0.28846153846167805,0.23076923076942785,0.11538461538450046,0.09615384615403502,1
2018-02-05 01:16:00,0.4594594594594919,0.2972972972974595,0.4594594594594919,0.4324324324322865,0.7297297297297459,0.4054054054056812,0.32432432432466496,0.1621621621620324,0.13513513513542708,0.7027027027031406,1
2018-02-05 01:17:00,0.44186046511614696,0.5813953488369812,0.5581395348833367,0.8139534883718769,0.5348837209302085,0.4651162790697914,0.3255813953484409,0.3023255813953128,0.7906976744187487,0.0,2
2018-02-05 01:18:00,0.7534246575341924,0.7397260273971186,0.8904109589040179,0.7260273972603489,0.6849315068494317,0.6027397260272931,0.5890410958905234,0.8767123287672483,0.4109589041097807,0.013698630137073802,0
2018-02-05 01:19:00,0.7397260273971186,0.8904109589040179,0.7260273972603489,0.6849315068494317,0.6027397260272931,0.5890410958905234,0.8767123287672483,0.4109589041097807,0.013698630137073802,0.1643835616439731,0
